POSTCODE,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2097,1GSYD,Greater Sydney,1,Good,Good,0
2099,1GSYD,Greater Sydney,1,Good,Good,0
2100,1GSYD,Greater Sydney,1,Good,Good,0
2101,1GSYD,Greater Sydney,1,Good,Good,0
2102,1GSYD,Greater Sydney,1,Good,Good,0
2103,1GSYD,Greater Sydney,1,Good,Good,0
2104,1GSYD,Greater Sydney,1,Good,Good,0
2105,1GSYD,Greater Sydney,1,Good,Good,0
2106,1GSYD,Greater Sydney,1,Good,Good,0
2107,1GSYD,Greater Sydney,1,Good,Good,0
2108,1GSYD,Greater Sydney,1,Good,Good,0
2110,1GSYD,Greater Sydney,1,Good,Good,0
2111,1GSYD,Greater Sydney,1,Good,Good,0
2112,1GSYD,Greater Sydney,1,Good,Good,0
2113,1GSYD,Greater Sydney,1,Good,Good,0
2114,1GSYD,Greater Sydney,1,Good,Good,0
2115,1GSYD,Greater Sydney,1,Good,Good,0
2116,1GSYD,Greater Sydney,1,Good,Good,0
2117,1GSYD,Greater Sydney,1,Good,Good,0
2118,1GSYD,Greater Sydney,1,Good,Good,0
2119,1GSYD,Greater Sydney,1,Good,Good,0
2120,1GSYD,Greater Sydney,1,Good,Good,0
2121,1GSYD,Greater Sydney,1,Good,Good,0
2122,1GSYD,Greater Sydney,1,Good,Good,0
2125,1GSYD,Greater Sydney,1,Good,Good,0
2126,1GSYD,Greater Sydney,1,Good,Good,0
2127,1GSYD,Greater Sydney,1,Good,Good,0
2128,1GSYD,Greater Sydney,1,Good,Good,0
2130,1GSYD,Greater Sydney,1,Good,Good,0
2131,1GSYD,Greater Sydney,1,Good,Good,0
2132,1GSYD,Greater Sydney,1,Good,Good,0
2133,1GSYD,Greater Sydney,1,Good,Good,0
2134,1GSYD,Greater Sydney,1,Good,Good,0
2135,1GSYD,Greater Sydney,1,Good,Good,0
2136,1GSYD,Greater Sydney,1,Good,Good,0
2137,1GSYD,Greater Sydney,1,Good,Good,0
2138,1GSYD,Greater Sydney,1,Good,Good,0
2140,1GSYD,Greater Sydney,1,Good,Good,0
2141,1GSYD,Greater Sydney,1,Good,Good,0
2142,1GSYD,Greater Sydney,1,Good,Good,0
2143,1GSYD,Greater Sydney,1,Good,Good,0
2144,1GSYD,Greater Sydney,1,Good,Good,0
2145,1GSYD,Greater Sydney,1,Good,Good,0
2146,1GSYD,Greater Sydney,1,Good,Good,0
2147,1GSYD,Greater Sydney,1,Good,Good,0
2148,1GSYD,Greater Sydney,1,Good,Good,0
2150,1GSYD,Greater Sydney,1,Good,Good,0
2151,1GSYD,Greater Sydney,1,Good,Good,0
2152,1GSYD,Greater Sydney,1,Good,Good,0
2153,1GSYD,Greater Sydney,1,Good,Good,0
2154,1GSYD,Greater Sydney,1,Good,Good,0
2155,1GSYD,Greater Sydney,1,Good,Good,0
2156,1GSYD,Greater Sydney,1,Good,Good,0
2157,1GSYD,Greater Sydney,1,Good,Good,0
2158,1GSYD,Greater Sydney,1,Good,Good,0
2159,1GSYD,Greater Sydney,1,Good,Good,0
2160,1GSYD,Greater Sydney,1,Good,Good,0
2161,1GSYD,Greater Sydney,1,Good,Good,0
2162,1GSYD,Greater Sydney,1,Good,Good,0
2163,1GSYD,Greater Sydney,1,Good,Good,0
2164,1GSYD,Greater Sydney,1,Good,Good,0
2165,1GSYD,Greater Sydney,1,Good,Good,0
2166,1GSYD,Greater Sydney,1,Good,Good,0
2167,1GSYD,Greater Sydney,1,Good,Good,0
2168,1GSYD,Greater Sydney,1,Good,Good,0
2170,1GSYD,Greater Sydney,1,Good,Good,0
2171,1GSYD,Greater Sydney,1,Good,Good,0
2172,1GSYD,Greater Sydney,1,Good,Good,0
2173,1GSYD,Greater Sydney,1,Good,Good,0
2174,1GSYD,Greater Sydney,1,Good,Good,0
2175,1GSYD,Greater Sydney,1,Good,Good,0
2176,1GSYD,Greater Sydney,1,Good,Good,0
2177,1GSYD,Greater Sydney,1,Good,Good,0
2178,1GSYD,Greater Sydney,1,Good,Good,0
2179,1GSYD,Greater Sydney,1,Good,Good,0
2190,1GSYD,Greater Sydney,1,Good,Good,0
2191,1GSYD,Greater Sydney,1,Good,Good,0
2192,1GSYD,Greater Sydney,1,Good,Good,0
2193,1GSYD,Greater Sydney,1,Good,Good,0
2194,1GSYD,Greater Sydney,1,Good,Good,0
2195,1GSYD,Greater Sydney,1,Good,Good,0
2196,1GSYD,Greater Sydney,1,Good,Good,0
2197,1GSYD,Greater Sydney,1,Good,Good,0
2198,1GSYD,Greater Sydney,1,Good,Good,0
2199,1GSYD,Greater Sydney,1,Good,Good,0
2200,1GSYD,Greater Sydney,1,Good,Good,0
2203,1GSYD,Greater Sydney,1,Good,Good,0
2204,1GSYD,Greater Sydney,1,Good,Good,0
2205,1GSYD,Greater Sydney,1,Good,Good,0
2206,1GSYD,Greater Sydney,1,Good,Good,0
2207,1GSYD,Greater Sydney,1,Good,Good,0
2208,1GSYD,Greater Sydney,1,Good,Good,0
2209,1GSYD,Greater Sydney,1,Good,Good,0
2210,1GSYD,Greater Sydney,1,Good,Good,0
2211,1GSYD,Greater Sydney,1,Good,Good,0
2212,1GSYD,Greater Sydney,1,Good,Good,0
2213,1GSYD,Greater Sydney,1,Good,Good,0
2214,1GSYD,Greater Sydney,1,Good,Good,0
2216,1GSYD,Greater Sydney,1,Good,Good,0
2217,1GSYD,Greater Sydney,1,Good,Good,0
2218,1GSYD,Greater Sydney,1,Good,Good,0
2219,1GSYD,Greater Sydney,1,Good,Good,0
2220,1GSYD,Greater Sydney,1,Good,Good,0
2221,1GSYD,Greater Sydney,1,Good,Good,0
2222,1GSYD,Greater Sydney,1,Good,Good,0
2223,1GSYD,Greater Sydney,1,Good,Good,0
