POSTCODE,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2620,1RNSW,Rest of NSW,0.9812335,Good,Good,0
2620,8ACTE,Australian Capital Territory,0.0187665,Good,Good,0
2621,1RNSW,Rest of NSW,1,Good,Good,0
2622,1RNSW,Rest of NSW,1,Good,Good,0
2623,1RNSW,Rest of NSW,1,Good,Good,0
2624,1RNSW,Rest of NSW,1,Good,Good,0
2625,1RNSW,Rest of NSW,1,Good,Good,0
2626,1RNSW,Rest of NSW,1,Good,Good,0
2627,1RNSW,Rest of NSW,0.9997314,Good,Good,0
2627,2RVIC,Rest of Vic.,0.0002686,Good,Good,1
2628,1RNSW,Rest of NSW,1,Good,Good,0
2629,1RNSW,Rest of NSW,1,Good,Good,0
2630,1RNSW,Rest of NSW,1,Good,Good,0
2631,1RNSW,Rest of NSW,1,Good,Good,0
2632,1RNSW,Rest of NSW,1,Good,Good,0
2633,1RNSW,Rest of NSW,1,Good,Good,0
2640,1RNSW,Rest of NSW,1,Good,Good,0
2641,1RNSW,Rest of NSW,1,Good,Good,0
2642,1RNSW,Rest of NSW,1,Good,Good,0
2643,1RNSW,Rest of NSW,1,Good,Good,0
2644,1RNSW,Rest of NSW,1,Good,Good,0
2645,1RNSW,Rest of NSW,1,Good,Good,0
2646,1RNSW,Rest of NSW,1,Good,Good,0
2647,1RNSW,Rest of NSW,1,Good,Good,0
2648,1RNSW,Rest of NSW,1,Good,Good,0
2649,1RNSW,Rest of NSW,1,Good,Good,0
2650,1RNSW,Rest of NSW,1,Good,Good,0
2651,1RNSW,Rest of NSW,1,Good,Good,0
2652,1RNSW,Rest of NSW,1,Good,Good,0
2653,1RNSW,Rest of NSW,1,Good,Good,0
2655,1RNSW,Rest of NSW,1,Good,Good,0
2656,1RNSW,Rest of NSW,1,Good,Good,0
2658,1RNSW,Rest of NSW,1,Good,Good,0
2659,1RNSW,Rest of NSW,1,Good,Good,0
2660,1RNSW,Rest of NSW,1,Good,Good,0
2661,1RNSW,Rest of NSW,1,Good,Good,0
2663,1RNSW,Rest of NSW,1,Good,Good,0
2665,1RNSW,Rest of NSW,1,Good,Good,0
2666,1RNSW,Rest of NSW,1,Good,Good,0
2668,1RNSW,Rest of NSW,1,Good,Good,0
2669,1RNSW,Rest of NSW,1,Good,Good,0
2671,1RNSW,Rest of NSW,1,Good,Good,0
2672,1RNSW,Rest of NSW,1,Good,Good,0
2675,1RNSW,Rest of NSW,1,Good,Good,0
2678,1RNSW,Rest of NSW,1,Good,Good,0
2680,1RNSW,Rest of NSW,1,Good,Good,0
2681,1RNSW,Rest of NSW,1,Good,Good,0
2700,1RNSW,Rest of NSW,1,Good,Good,0
2701,1RNSW,Rest of NSW,1,Good,Good,0
2702,1RNSW,Rest of NSW,1,Good,Good,0
2703,1RNSW,Rest of NSW,1,Good,Good,0
2705,1RNSW,Rest of NSW,1,Good,Good,0
2706,1RNSW,Rest of NSW,1,Good,Good,0
2707,1RNSW,Rest of NSW,1,Good,Good,0
2710,1RNSW,Rest of NSW,1,Good,Good,0
2711,1RNSW,Rest of NSW,1,Good,Good,0
2712,1RNSW,Rest of NSW,1,Good,Good,0
2713,1RNSW,Rest of NSW,1,Good,Good,0
2714,1RNSW,Rest of NSW,1,Good,Good,0
2715,1RNSW,Rest of NSW,1,Good,Good,0
2716,1RNSW,Rest of NSW,1,Good,Good,0
2717,1RNSW,Rest of NSW,1,Good,Good,0
2720,1RNSW,Rest of NSW,1,Good,Good,0
2721,1RNSW,Rest of NSW,1,Good,Good,0
2722,1RNSW,Rest of NSW,1,Good,Good,0
2725,1RNSW,Rest of NSW,1,Good,Good,0
2726,1RNSW,Rest of NSW,1,Good,Good,0
2727,1RNSW,Rest of NSW,1,Good,Good,0
2729,1RNSW,Rest of NSW,1,Good,Good,0
2730,1RNSW,Rest of NSW,1,Good,Good,0
2731,1RNSW,Rest of NSW,1,Good,Good,0
2732,1RNSW,Rest of NSW,1,Good,Good,0
2733,1RNSW,Rest of NSW,1,Good,Good,0
2734,1RNSW,Rest of NSW,1,Good,Good,0
2735,1RNSW,Rest of NSW,1,Good,Good,0
2736,1RNSW,Rest of NSW,1,Good,Good,0
2737,1RNSW,Rest of NSW,1,Good,Good,0
2738,1RNSW,Rest of NSW,1,Good,Good,0
2739,1RNSW,Rest of NSW,1,Good,Good,0
2745,1GSYD,Greater Sydney,1,Good,Good,0
2747,1GSYD,Greater Sydney,1,Good,Good,0
2748,1GSYD,Greater Sydney,1,Good,Good,0
2749,1GSYD,Greater Sydney,1,Good,Good,0
2750,1GSYD,Greater Sydney,1,Good,Good,0
2752,1GSYD,Greater Sydney,1,Good,Good,0
2753,1GSYD,Greater Sydney,1,Good,Good,0
2754,1GSYD,Greater Sydney,1,Good,Good,0
2756,1GSYD,Greater Sydney,0.9999998,Good,Good,0
2756,1RNSW,Rest of NSW,2.00e-07,Good,Good,1
2757,1GSYD,Greater Sydney,1,Good,Good,0
2758,1GSYD,Greater Sydney,0.9999995,Good,Good,0
2758,1RNSW,Rest of NSW,5.00e-07,Good,Good,1
2759,1GSYD,Greater Sydney,1,Good,Good,0
2760,1GSYD,Greater Sydney,1,Good,Good,0
2761,1GSYD,Greater Sydney,1,Good,Good,0
2762,1GSYD,Greater Sydney,1,Good,Good,0
2763,1GSYD,Greater Sydney,1,Good,Good,0
2765,1GSYD,Greater Sydney,1,Good,Good,0
2766,1GSYD,Greater Sydney,1,Good,Good,0
2767,1GSYD,Greater Sydney,1,Good,Good,0
2768,1GSYD,Greater Sydney,1,Good,Good,0
2769,1GSYD,Greater Sydney,1,Good,Good,0
2770,1GSYD,Greater Sydney,1,Good,Good,0
2773,1GSYD,Greater Sydney,1,Good,Good,0
2774,1GSYD,Greater Sydney,1,Good,Good,0
2775,1GSYD,Greater Sydney,1,Good,Good,0
2776,1GSYD,Greater Sydney,1,Good,Good,0
2777,1GSYD,Greater Sydney,1,Good,Good,0
2778,1GSYD,Greater Sydney,1,Good,Good,0
2779,1GSYD,Greater Sydney,1,Good,Good,0
2780,1GSYD,Greater Sydney,1,Good,Good,0
2782,1GSYD,Greater Sydney,1,Good,Good,0
2783,1GSYD,Greater Sydney,1,Good,Good,0
2784,1GSYD,Greater Sydney,1,Good,Good,0
2785,1GSYD,Greater Sydney,0.9892322,Good,Good,0
2785,1RNSW,Rest of NSW,0.0107678,Good,Good,0
2786,1GSYD,Greater Sydney,0.9263542,Good,Good,0
2786,1RNSW,Rest of NSW,0.0736458,Good,Good,0
2787,1GSYD,Greater Sydney,0.0006643,Good,Good,1
2787,1RNSW,Rest of NSW,0.9993357,Good,Good,0
2790,1RNSW,Rest of NSW,1,Good,Good,0
2791,1RNSW,Rest of NSW,1,Good,Good,0
2792,1RNSW,Rest of NSW,1,Good,Good,0
2793,1RNSW,Rest of NSW,1,Good,Good,0
2794,1RNSW,Rest of NSW,1,Good,Good,0
2795,1RNSW,Rest of NSW,1,Good,Good,0
2797,1RNSW,Rest of NSW,1,Good,Good,0
2798,1RNSW,Rest of NSW,1,Good,Good,0
2799,1RNSW,Rest of NSW,1,Good,Good,0
2800,1RNSW,Rest of NSW,1,Good,Good,0
2803,1RNSW,Rest of NSW,1,Good,Good,0
2804,1RNSW,Rest of NSW,1,Good,Good,0
2805,1RNSW,Rest of NSW,1,Good,Good,0
2806,1RNSW,Rest of NSW,1,Good,Good,0
2807,1RNSW,Rest of NSW,1,Good,Good,0
2808,1RNSW,Rest of NSW,1,Good,Good,0
2809,1RNSW,Rest of NSW,1,Good,Good,0
2810,1RNSW,Rest of NSW,1,Good,Good,0
2817,1RNSW,Rest of NSW,1,Good,Good,0
2818,1RNSW,Rest of NSW,1,Good,Good,0
2820,1RNSW,Rest of NSW,1,Good,Good,0
2821,1RNSW,Rest of NSW,1,Good,Good,0
2822,1RNSW,Rest of NSW,1,Good,Good,0
2823,1RNSW,Rest of NSW,1,Good,Good,0
2824,1RNSW,Rest of NSW,1,Good,Good,0
2825,1RNSW,Rest of NSW,1,Good,Good,0
2826,1RNSW,Rest of NSW,1,Good,Good,0
2827,1RNSW,Rest of NSW,1,Good,Good,0
2828,1RNSW,Rest of NSW,1,Good,Good,0
2829,1RNSW,Rest of NSW,1,Good,Good,0
2830,1RNSW,Rest of NSW,1,Good,Good,0
2831,1RNSW,Rest of NSW,1,Good,Good,0
2832,1RNSW,Rest of NSW,1,Good,Good,0
2833,1RNSW,Rest of NSW,1,Good,Good,0
2834,1RNSW,Rest of NSW,1,Good,Good,0
2835,1RNSW,Rest of NSW,1,Good,Good,0
2836,1RNSW,Rest of NSW,1,Good,Good,0
2838,1RNSW,Rest of NSW,1,Good,Good,0
2839,1RNSW,Rest of NSW,1,Good,Good,0
2840,1RNSW,Rest of NSW,1,Good,Good,0
2842,1RNSW,Rest of NSW,1,Good,Good,0
2843,1RNSW,Rest of NSW,1,Good,Good,0
2844,1RNSW,Rest of NSW,1,Good,Good,0
2845,1RNSW,Rest of NSW,1,Good,Good,0
2846,1RNSW,Rest of NSW,1,Good,Good,0
2847,1RNSW,Rest of NSW,1,Good,Good,0
2848,1RNSW,Rest of NSW,1,Good,Good,0
2849,1RNSW,Rest of NSW,1,Good,Good,0
2850,1RNSW,Rest of NSW,1,Good,Good,0
2852,1RNSW,Rest of NSW,1,Good,Good,0
2864,1RNSW,Rest of NSW,1,Good,Good,0
2865,1RNSW,Rest of NSW,1,Good,Good,0
2866,1RNSW,Rest of NSW,1,Good,Good,0
2867,1RNSW,Rest of NSW,1,Good,Good,0
2868,1RNSW,Rest of NSW,1,Good,Good,0
2869,1RNSW,Rest of NSW,1,Good,Good,0
2870,1RNSW,Rest of NSW,1,Good,Good,0
2871,1RNSW,Rest of NSW,1,Good,Good,0
2873,1RNSW,Rest of NSW,1,Good,Good,0
2874,1RNSW,Rest of NSW,1,Good,Good,0
2875,1RNSW,Rest of NSW,1,Good,Good,0
2876,1RNSW,Rest of NSW,1,Good,Good,0
2877,1RNSW,Rest of NSW,1,Good,Good,0
2878,1RNSW,Rest of NSW,1,Good,Good,0
2879,1RNSW,Rest of NSW,1,Good,Good,0
2880,1RNSW,Rest of NSW,1,Good,Good,0
2898,1RNSW,Rest of NSW,1,Good,Good,0
2899,9OTER,Other Territories,1,Good,Good,0
2900,8ACTE,Australian Capital Territory,1,Good,Good,0
2902,8ACTE,Australian Capital Territory,1,Good,Good,0
2903,8ACTE,Australian Capital Territory,1,Good,Good,0
2904,8ACTE,Australian Capital Territory,1,Good,Good,0
2905,8ACTE,Australian Capital Territory,1,Good,Good,0
2906,8ACTE,Australian Capital Territory,1,Good,Good,0
2911,8ACTE,Australian Capital Territory,1,Good,Good,0
2912,8ACTE,Australian Capital Territory,1,Good,Good,0
2913,8ACTE,Australian Capital Territory,1,Good,Good,0
2914,8ACTE,Australian Capital Territory,1,Good,Good,0
3000,2GMEL,Greater Melbourne,1,Good,Good,0
3002,2GMEL,Greater Melbourne,1,Good,Good,0
3003,2GMEL,Greater Melbourne,1,Good,Good,0
3004,2GMEL,Greater Melbourne,1,Good,Good,0
3006,2GMEL,Greater Melbourne,1,Good,Good,0
3008,2GMEL,Greater Melbourne,1,Good,Good,0
3011,2GMEL,Greater Melbourne,1,Good,Good,0
3012,2GMEL,Greater Melbourne,1,Good,Good,0
3013,2GMEL,Greater Melbourne,1,Good,Good,0
3015,2GMEL,Greater Melbourne,1,Good,Good,0
3016,2GMEL,Greater Melbourne,1,Good,Good,0
3018,2GMEL,Greater Melbourne,1,Good,Good,0
3019,2GMEL,Greater Melbourne,1,Good,Good,0
3020,2GMEL,Greater Melbourne,1,Good,Good,0
3021,2GMEL,Greater Melbourne,1,Good,Good,0
3022,2GMEL,Greater Melbourne,1,Good,Good,0
3023,2GMEL,Greater Melbourne,1,Good,Good,0
3024,2GMEL,Greater Melbourne,1,Good,Good,0
3025,2GMEL,Greater Melbourne,1,Good,Good,0
3026,2GMEL,Greater Melbourne,1,Good,Good,0
3027,2GMEL,Greater Melbourne,1,Good,Good,0
3028,2GMEL,Greater Melbourne,1,Good,Good,0
3029,2GMEL,Greater Melbourne,1,Good,Good,0
3030,2GMEL,Greater Melbourne,1,Good,Good,0
3031,2GMEL,Greater Melbourne,1,Good,Good,0
3032,2GMEL,Greater Melbourne,1,Good,Good,0
3033,2GMEL,Greater Melbourne,1,Good,Good,0
3034,2GMEL,Greater Melbourne,1,Good,Good,0
3036,2GMEL,Greater Melbourne,1,Good,Good,0
3037,2GMEL,Greater Melbourne,1,Good,Good,0
3038,2GMEL,Greater Melbourne,1,Good,Good,0
3039,2GMEL,Greater Melbourne,1,Good,Good,0
3040,2GMEL,Greater Melbourne,1,Good,Good,0
3041,2GMEL,Greater Melbourne,1,Good,Good,0
3042,2GMEL,Greater Melbourne,1,Good,Good,0
3043,2GMEL,Greater Melbourne,1,Good,Good,0
3044,2GMEL,Greater Melbourne,1,Good,Good,0
3045,2GMEL,Greater Melbourne,1,Good,Good,0
3046,2GMEL,Greater Melbourne,1,Good,Good,0
3047,2GMEL,Greater Melbourne,1,Good,Good,0
3048,2GMEL,Greater Melbourne,1,Good,Good,0
3049,2GMEL,Greater Melbourne,1,Good,Good,0
3051,2GMEL,Greater Melbourne,1,Good,Good,0
3052,2GMEL,Greater Melbourne,1,Good,Good,0
3053,2GMEL,Greater Melbourne,1,Good,Good,0
3054,2GMEL,Greater Melbourne,1,Good,Good,0
3055,2GMEL,Greater Melbourne,1,Good,Good,0
3056,2GMEL,Greater Melbourne,1,Good,Good,0
3057,2GMEL,Greater Melbourne,1,Good,Good,0
3058,2GMEL,Greater Melbourne,1,Good,Good,0
3059,2GMEL,Greater Melbourne,1,Good,Good,0
3060,2GMEL,Greater Melbourne,1,Good,Good,0
3061,2GMEL,Greater Melbourne,1,Good,Good,0
3062,2GMEL,Greater Melbourne,1,Good,Good,0
3063,2GMEL,Greater Melbourne,1,Good,Good,0
3064,2GMEL,Greater Melbourne,1,Good,Good,0
3065,2GMEL,Greater Melbourne,1,Good,Good,0
3066,2GMEL,Greater Melbourne,1,Good,Good,0
3067,2GMEL,Greater Melbourne,1,Good,Good,0
3068,2GMEL,Greater Melbourne,1,Good,Good,0
3070,2GMEL,Greater Melbourne,1,Good,Good,0
3071,2GMEL,Greater Melbourne,1,Good,Good,0
3072,2GMEL,Greater Melbourne,1,Good,Good,0
3073,2GMEL,Greater Melbourne,1,Good,Good,0
3074,2GMEL,Greater Melbourne,1,Good,Good,0
3075,2GMEL,Greater Melbourne,1,Good,Good,0
3076,2GMEL,Greater Melbourne,1,Good,Good,0
3078,2GMEL,Greater Melbourne,1,Good,Good,0
3079,2GMEL,Greater Melbourne,1,Good,Good,0
3081,2GMEL,Greater Melbourne,1,Good,Good,0
3082,2GMEL,Greater Melbourne,1,Good,Good,0
3083,2GMEL,Greater Melbourne,1,Good,Good,0
3084,2GMEL,Greater Melbourne,1,Good,Good,0
3085,2GMEL,Greater Melbourne,1,Good,Good,0
3087,2GMEL,Greater Melbourne,1,Good,Good,0
3088,2GMEL,Greater Melbourne,1,Good,Good,0
3089,2GMEL,Greater Melbourne,1,Good,Good,0
3090,2GMEL,Greater Melbourne,1,Good,Good,0
3091,2GMEL,Greater Melbourne,1,Good,Good,0
3093,2GMEL,Greater Melbourne,1,Good,Good,0
3094,2GMEL,Greater Melbourne,1,Good,Good,0
3095,2GMEL,Greater Melbourne,1,Good,Good,0
3096,2GMEL,Greater Melbourne,1,Good,Good,0
3097,2GMEL,Greater Melbourne,1,Good,Good,0
3099,2GMEL,Greater Melbourne,1,Good,Good,0
3101,2GMEL,Greater Melbourne,1,Good,Good,0
3102,2GMEL,Greater Melbourne,1,Good,Good,0
3103,2GMEL,Greater Melbourne,1,Good,Good,0
3104,2GMEL,Greater Melbourne,1,Good,Good,0
3105,2GMEL,Greater Melbourne,1,Good,Good,0
3106,2GMEL,Greater Melbourne,1,Good,Good,0
3107,2GMEL,Greater Melbourne,1,Good,Good,0
3108,2GMEL,Greater Melbourne,1,Good,Good,0
3109,2GMEL,Greater Melbourne,1,Good,Good,0
3111,2GMEL,Greater Melbourne,1,Good,Good,0
3113,2GMEL,Greater Melbourne,1,Good,Good,0
3114,2GMEL,Greater Melbourne,1,Good,Good,0
3115,2GMEL,Greater Melbourne,1,Good,Good,0
3116,2GMEL,Greater Melbourne,1,Good,Good,0
3121,2GMEL,Greater Melbourne,1,Good,Good,0
3122,2GMEL,Greater Melbourne,1,Good,Good,0
3123,2GMEL,Greater Melbourne,1,Good,Good,0
3124,2GMEL,Greater Melbourne,1,Good,Good,0
3125,2GMEL,Greater Melbourne,1,Good,Good,0
3126,2GMEL,Greater Melbourne,1,Good,Good,0
3127,2GMEL,Greater Melbourne,1,Good,Good,0
3128,2GMEL,Greater Melbourne,1,Good,Good,0
3129,2GMEL,Greater Melbourne,1,Good,Good,0
3130,2GMEL,Greater Melbourne,1,Good,Good,0
3131,2GMEL,Greater Melbourne,1,Good,Good,0
3132,2GMEL,Greater Melbourne,1,Good,Good,0
3133,2GMEL,Greater Melbourne,1,Good,Good,0
3134,2GMEL,Greater Melbourne,1,Good,Good,0
3135,2GMEL,Greater Melbourne,1,Good,Good,0
3136,2GMEL,Greater Melbourne,1,Good,Good,0
3137,2GMEL,Greater Melbourne,1,Good,Good,0
3138,2GMEL,Greater Melbourne,1,Good,Good,0
3139,2GMEL,Greater Melbourne,1,Good,Good,0
3140,2GMEL,Greater Melbourne,1,Good,Good,0
3141,2GMEL,Greater Melbourne,1,Good,Good,0
3142,2GMEL,Greater Melbourne,1,Good,Good,0
3143,2GMEL,Greater Melbourne,1,Good,Good,0
3144,2GMEL,Greater Melbourne,1,Good,Good,0
3145,2GMEL,Greater Melbourne,1,Good,Good,0
3146,2GMEL,Greater Melbourne,1,Good,Good,0
3147,2GMEL,Greater Melbourne,1,Good,Good,0
3148,2GMEL,Greater Melbourne,1,Good,Good,0
3149,2GMEL,Greater Melbourne,1,Good,Good,0
3150,2GMEL,Greater Melbourne,1,Good,Good,0
3151,2GMEL,Greater Melbourne,1,Good,Good,0
3152,2GMEL,Greater Melbourne,1,Good,Good,0
3153,2GMEL,Greater Melbourne,1,Good,Good,0
3154,2GMEL,Greater Melbourne,1,Good,Good,0
3155,2GMEL,Greater Melbourne,1,Good,Good,0
3156,2GMEL,Greater Melbourne,1,Good,Good,0
3158,2GMEL,Greater Melbourne,1,Good,Good,0
3159,2GMEL,Greater Melbourne,1,Good,Good,0
3160,2GMEL,Greater Melbourne,1,Good,Good,0
3161,2GMEL,Greater Melbourne,1,Good,Good,0
3162,2GMEL,Greater Melbourne,1,Good,Good,0
3163,2GMEL,Greater Melbourne,1,Good,Good,0
3165,2GMEL,Greater Melbourne,1,Good,Good,0
3166,2GMEL,Greater Melbourne,1,Good,Good,0
3167,2GMEL,Greater Melbourne,1,Good,Good,0
3168,2GMEL,Greater Melbourne,1,Good,Good,0
3169,2GMEL,Greater Melbourne,1,Good,Good,0
3170,2GMEL,Greater Melbourne,1,Good,Good,0
3171,2GMEL,Greater Melbourne,1,Good,Good,0
3172,2GMEL,Greater Melbourne,1,Good,Good,0
3173,2GMEL,Greater Melbourne,1,Good,Good,0
3174,2GMEL,Greater Melbourne,1,Good,Good,0
3175,2GMEL,Greater Melbourne,1,Good,Good,0
3177,2GMEL,Greater Melbourne,1,Good,Good,0
3178,2GMEL,Greater Melbourne,1,Good,Good,0
3179,2GMEL,Greater Melbourne,1,Good,Good,0
3180,2GMEL,Greater Melbourne,1,Good,Good,0
3181,2GMEL,Greater Melbourne,1,Good,Good,0
3182,2GMEL,Greater Melbourne,1,Good,Good,0
3183,2GMEL,Greater Melbourne,1,Good,Good,0
3184,2GMEL,Greater Melbourne,1,Good,Good,0
3185,2GMEL,Greater Melbourne,1,Good,Good,0
3186,2GMEL,Greater Melbourne,1,Good,Good,0
3187,2GMEL,Greater Melbourne,1,Good,Good,0
3188,2GMEL,Greater Melbourne,1,Good,Good,0
3189,2GMEL,Greater Melbourne,1,Good,Good,0
3190,2GMEL,Greater Melbourne,1,Good,Good,0
3191,2GMEL,Greater Melbourne,1,Good,Good,0
3192,2GMEL,Greater Melbourne,1,Good,Good,0
3193,2GMEL,Greater Melbourne,1,Good,Good,0
3194,2GMEL,Greater Melbourne,1,Good,Good,0
3195,2GMEL,Greater Melbourne,1,Good,Good,0
3196,2GMEL,Greater Melbourne,1,Good,Good,0
3197,2GMEL,Greater Melbourne,1,Good,Good,0
3198,2GMEL,Greater Melbourne,1,Good,Good,0
3199,2GMEL,Greater Melbourne,1,Good,Good,0
3200,2GMEL,Greater Melbourne,1,Good,Good,0
3201,2GMEL,Greater Melbourne,1,Good,Good,0
3202,2GMEL,Greater Melbourne,1,Good,Good,0
3204,2GMEL,Greater Melbourne,1,Good,Good,0
3205,2GMEL,Greater Melbourne,1,Good,Good,0
3206,2GMEL,Greater Melbourne,1,Good,Good,0
3207,2GMEL,Greater Melbourne,1,Good,Good,0
3211,2GMEL,Greater Melbourne,0.5448617,Good,Good,0
3211,2RVIC,Rest of Vic.,0.4551383,Good,Good,0
3212,2RVIC,Rest of Vic.,1,Good,Good,0
3213,2RVIC,Rest of Vic.,1,Good,Good,0
3214,2RVIC,Rest of Vic.,1,Good,Good,0
3215,2RVIC,Rest of Vic.,1,Good,Good,0
3216,2RVIC,Rest of Vic.,1,Good,Good,0
3217,2RVIC,Rest of Vic.,1,Good,Good,0
3218,2RVIC,Rest of Vic.,1,Good,Good,0
3219,2RVIC,Rest of Vic.,1,Good,Good,0
3220,2RVIC,Rest of Vic.,1,Good,Good,0
3221,2RVIC,Rest of Vic.,1,Good,Good,0
3222,2RVIC,Rest of Vic.,1,Good,Good,0
3223,2RVIC,Rest of Vic.,1,Good,Good,0
3224,2RVIC,Rest of Vic.,1,Good,Good,0
3225,2RVIC,Rest of Vic.,1,Good,Good,0
3226,2RVIC,Rest of Vic.,1,Good,Good,0
3227,2RVIC,Rest of Vic.,1,Good,Good,0
3228,2RVIC,Rest of Vic.,1,Good,Good,0
3230,2RVIC,Rest of Vic.,1,Good,Good,0
3231,2RVIC,Rest of Vic.,1,Good,Good,0
3232,2RVIC,Rest of Vic.,1,Good,Good,0
3233,2RVIC,Rest of Vic.,1,Good,Good,0
3234,2RVIC,Rest of Vic.,1,Good,Good,0
3235,2RVIC,Rest of Vic.,1,Good,Good,0
3236,2RVIC,Rest of Vic.,1,Good,Good,0
3237,2RVIC,Rest of Vic.,1,Good,Good,0
3238,2RVIC,Rest of Vic.,1,Good,Good,0
3239,2RVIC,Rest of Vic.,1,Good,Good,0
3240,2RVIC,Rest of Vic.,1,Good,Good,0
3241,2RVIC,Rest of Vic.,1,Good,Good,0
3242,2RVIC,Rest of Vic.,1,Good,Good,0
3243,2RVIC,Rest of Vic.,1,Good,Good,0
3249,2RVIC,Rest of Vic.,1,Good,Good,0
3250,2RVIC,Rest of Vic.,1,Good,Good,0
3251,2RVIC,Rest of Vic.,1,Good,Good,0
3254,2RVIC,Rest of Vic.,1,Good,Good,0
3260,2RVIC,Rest of Vic.,1,Good,Good,0
3264,2RVIC,Rest of Vic.,1,Good,Good,0
3265,2RVIC,Rest of Vic.,1,Good,Good,0
3266,2RVIC,Rest of Vic.,1,Good,Good,0
3267,2RVIC,Rest of Vic.,1,Good,Good,0
3268,2RVIC,Rest of Vic.,1,Good,Good,0
3269,2RVIC,Rest of Vic.,1,Good,Good,0
3270,2RVIC,Rest of Vic.,1,Good,Good,0
3271,2RVIC,Rest of Vic.,1,Good,Good,0
3272,2RVIC,Rest of Vic.,1,Good,Good,0
3273,2RVIC,Rest of Vic.,1,Good,Good,0
3274,2RVIC,Rest of Vic.,1,Good,Good,0
3275,2RVIC,Rest of Vic.,1,Good,Good,0
3276,2RVIC,Rest of Vic.,1,Good,Good,0
3277,2RVIC,Rest of Vic.,1,Good,Good,0
3278,2RVIC,Rest of Vic.,1,Good,Good,0
3279,2RVIC,Rest of Vic.,1,Good,Good,0
3280,2RVIC,Rest of Vic.,1,Good,Good,0
3281,2RVIC,Rest of Vic.,1,Good,Good,0
3282,2RVIC,Rest of Vic.,1,Good,Good,0
3283,2RVIC,Rest of Vic.,1,Good,Good,0
3284,2RVIC,Rest of Vic.,1,Good,Good,0
3285,2RVIC,Rest of Vic.,1,Good,Good,0
3286,2RVIC,Rest of Vic.,1,Good,Good,0
3287,2RVIC,Rest of Vic.,1,Good,Good,0
3289,2RVIC,Rest of Vic.,1,Good,Good,0
3292,2RVIC,Rest of Vic.,1,Good,Good,0
3293,2RVIC,Rest of Vic.,1,Good,Good,0
3294,2RVIC,Rest of Vic.,1,Good,Good,0
3300,2RVIC,Rest of Vic.,1,Good,Good,0
3301,2RVIC,Rest of Vic.,1,Good,Good,0
3302,2RVIC,Rest of Vic.,1,Good,Good,0
3303,2RVIC,Rest of Vic.,1,Good,Good,0
3304,2RVIC,Rest of Vic.,1,Good,Good,0
3305,2RVIC,Rest of Vic.,1,Good,Good,0
3309,2RVIC,Rest of Vic.,1,Good,Good,0
3310,2RVIC,Rest of Vic.,1,Good,Good,0
3311,2RVIC,Rest of Vic.,1,Good,Good,0
3312,2RVIC,Rest of Vic.,1,Good,Good,0
3314,2RVIC,Rest of Vic.,1,Good,Good,0
3315,2RVIC,Rest of Vic.,1,Good,Good,0
3317,2RVIC,Rest of Vic.,1,Good,Good,0
3318,2RVIC,Rest of Vic.,1,Good,Good,0
3319,2RVIC,Rest of Vic.,1,Good,Good,0
3321,2RVIC,Rest of Vic.,1,Good,Good,0
3322,2RVIC,Rest of Vic.,1,Good,Good,0
3323,2RVIC,Rest of Vic.,1,Good,Good,0
3324,2RVIC,Rest of Vic.,1,Good,Good,0
3325,2RVIC,Rest of Vic.,1,Good,Good,0
3328,2RVIC,Rest of Vic.,1,Good,Good,0
3329,2RVIC,Rest of Vic.,1,Good,Good,0
3330,2RVIC,Rest of Vic.,1,Good,Good,0
3331,2RVIC,Rest of Vic.,1,Good,Good,0
3332,2RVIC,Rest of Vic.,1,Good,Good,0
3333,2RVIC,Rest of Vic.,1,Good,Good,0
3334,2RVIC,Rest of Vic.,1,Good,Good,0
3335,2GMEL,Greater Melbourne,1,Good,Good,0
3336,2GMEL,Greater Melbourne,1,Good,Good,0
3337,2GMEL,Greater Melbourne,1,Good,Good,0
3338,2GMEL,Greater Melbourne,1,Good,Good,0
3340,2GMEL,Greater Melbourne,0.9595805,Good,Good,0
3340,2RVIC,Rest of Vic.,0.0404195,Good,Good,0
3341,2GMEL,Greater Melbourne,0.0945648,Good,Good,0
3341,2RVIC,Rest of Vic.,0.9054352,Good,Good,0
3342,2RVIC,Rest of Vic.,1,Good,Good,0
3345,2RVIC,Rest of Vic.,1,Good,Good,0
3350,2RVIC,Rest of Vic.,1,Good,Good,0
3351,2RVIC,Rest of Vic.,1,Good,Good,0
3352,2RVIC,Rest of Vic.,1,Good,Good,0
3355,2RVIC,Rest of Vic.,1,Good,Good,0
3356,2RVIC,Rest of Vic.,1,Good,Good,0
3357,2RVIC,Rest of Vic.,1,Good,Good,0
3358,2RVIC,Rest of Vic.,1,Good,Good,0
3360,2RVIC,Rest of Vic.,1,Good,Good,0
3361,2RVIC,Rest of Vic.,1,Good,Good,0
3363,2RVIC,Rest of Vic.,1,Good,Good,0
3364,2RVIC,Rest of Vic.,1,Good,Good,0
3370,2RVIC,Rest of Vic.,1,Good,Good,0
3371,2RVIC,Rest of Vic.,1,Good,Good,0
3373,2RVIC,Rest of Vic.,1,Good,Good,0
3374,2RVIC,Rest of Vic.,1,Good,Good,0
3375,2RVIC,Rest of Vic.,1,Good,Good,0
